央视,#genre#
天津卫视HD,http://192.168.0.245:8080/gdtv.php?id=tjhd
重庆卫视,http://192.168.0.245:8080/gdtv.php?id=cqws
重庆卫视HD,http://192.168.0.245:8080/gdtv.php?id=cqhd
黑龙江卫视,http://192.168.0.245:8080/gdtv.php?id=hljws
黑龙江卫视HD,http://192.168.0.245:8080/gdtv.php?id=hljhd
吉林卫视,http://192.168.0.245:8080/gdtv.php?id=jlws
吉林卫视HD,http://192.168.0.245:8080/gdtv.php?id=jlhd
延边卫视,http://192.168.0.245:8080/gdtv.php?id=ybws
辽宁卫视,http://192.168.0.245:8080/gdtv.php?id=lnws
辽宁卫视HD,http://192.168.0.245:8080/gdtv.php?id=lnhd
内蒙古卫视,http://192.168.0.245:8080/gdtv.php?id=nmws
宁夏卫视,http://192.168.0.245:8080/gdtv.php?id=nxws
甘肃卫视,http://192.168.0.245:8080/gdtv.php?id=gsws
青海卫视,http://192.168.0.245:8080/gdtv.php?id=qhws
陕西卫视,http://192.168.0.245:8080/gdtv.php?id=sxws
河北卫视,http://192.168.0.245:8080/gdtv.php?id=hbws
河北卫视HD,http://192.168.0.245:8080/gdtv.php?id=hbhd
山西卫视,http://192.168.0.245:8080/gdtv.php?id=sxiws
山东卫视,http://192.168.0.245:8080/gdtv.php?id=sdws
山东卫视HD,http://192.168.0.245:8080/gdtv.php?id=sdhd
安徽卫视,http://192.168.0.245:8080/gdtv.php?id=ahws
安徽卫视HD,http://192.168.0.245:8080/gdtv.php?id=ahhd
河南卫视,http://192.168.0.245:8080/gdtv.php?id=hnws
湖北卫视,http://192.168.0.245:8080/gdtv.php?id=hubws
湖北卫视HD,http://192.168.0.245:8080/gdtv.php?id=hubhd
湖南卫视,http://192.168.0.245:8080/gdtv.php?id=hunws
湖南卫视HD,http://192.168.0.245:8080/gdtv.php?id=hunhd
江西卫视,http://192.168.0.245:8080/gdtv.php?id=jxws
江西卫视HD,http://192.168.0.245:8080/gdtv.php?id=jxhd
江苏卫视,http://192.168.0.245:8080/gdtv.php?id=jsws
江苏卫视HD,http://192.168.0.245:8080/gdtv.php?id=jshd
浙江卫视,http://192.168.0.245:8080/gdtv.php?id=zjws
浙江卫视HD,http://192.168.0.245:8080/gdtv.php?id=zjhd
东南卫视,http://192.168.0.245:8080/gdtv.php?id=dnws
东南卫视HD,http://192.168.0.245:8080/gdtv.php?id=dnhd
广东卫视,http://192.168.0.245:8080/gdtv.php?id=gdws
广东卫视HD,http://192.168.0.245:8080/gdtv.php?id=gdhd
深圳卫视,http://192.168.0.245:8080/gdtv.php?id=szws
深圳卫视HD,http://192.168.0.245:8080/gdtv.php?id=szhd
大湾区卫视,http://192.168.0.245:8080/gdtv.php?id=dwqws
广西卫视,http://192.168.0.245:8080/gdtv.php?id=gxws
广西卫视HD,http://192.168.0.245:8080/gdtv.php?id=gxhd
云南卫视,http://192.168.0.245:8080/gdtv.php?id=ynws
贵州卫视,http://192.168.0.245:8080/gdtv.php?id=gzws
贵州卫视HD,http://192.168.0.245:8080/gdtv.php?id=gzhd
四川卫视,http://192.168.0.245:8080/gdtv.php?id=scws
四川卫视HD,http://192.168.0.245:8080/gdtv.php?id=schd
新疆卫视,http://192.168.0.245:8080/gdtv.php?id=xjws
兵团卫视,http://192.168.0.245:8080/gdtv.php?id=btws
西藏卫视,http://192.168.0.245:8080/gdtv.php?id=xzws
海南卫视,http://192.168.0.245:8080/gdtv.php?id=hinws
海南卫视HD,http://192.168.0.245:8080/gdtv.php?id=hinhd
三沙卫视,http://192.168.0.245:8080/gdtv.php?id=ssws
地方,#genre#
卡酷少儿,http://192.168.0.245:8080/gdtv.php?id=kkse
环球奇观,http://192.168.0.245:8080/gdtv.php?id=hqqg
劲爆体育,http://192.168.0.245:8080/gdtv.php?id=jbty
劲爆体育HD,http://192.168.0.245:8080/gdtv.php?id=jbtyhd
乐游,http://192.168.0.245:8080/gdtv.php?id=ly
乐游HD,http://192.168.0.245:8080/gdtv.php?id=lyhd
东方财经,http://192.168.0.245:8080/gdtv.php?id=dfcj
法治天地,http://192.168.0.245:8080/gdtv.php?id=fztd
都市剧场,http://192.168.0.245:8080/gdtv.php?id=dsjc
动漫秀场,http://192.168.0.245:8080/gdtv.php?id=dmxc
魅力足球,http://192.168.0.245:8080/gdtv.php?id=mlzq
金色学堂,http://192.168.0.245:8080/gdtv.php?id=jsxt
哈哈炫动,http://192.168.0.245:8080/gdtv.php?id=hhxd
新视觉,http://192.168.0.245:8080/gdtv.php?id=xsj
新动漫,http://192.168.0.245:8080/gdtv.php?id=xdm
文物宝库,http://192.168.0.245:8080/gdtv.php?id=wwbk
武术世界,http://192.168.0.245:8080/gdtv.php?id=wssj
梨园频道,http://192.168.0.245:8080/gdtv.php?id=lypd
金鹰卡通,http://192.168.0.245:8080/gdtv.php?id=jykt
快乐垂钓,http://192.168.0.245:8080/gdtv.php?id=klcd
先锋乒羽,http://192.168.0.245:8080/gdtv.php?id=xfpy
优漫卡通,http://192.168.0.245:8080/gdtv.php?id=ymkt
广东,#genre#
广东综艺4K,http://192.168.0.245:8080/gdtv.php?id=gdzy4k
广东珠江,http://192.168.0.245:8080/gdtv.php?id=gdzj
广东民生,http://192.168.0.245:8080/gdtv.php?id=gdms
广东新闻,http://192.168.0.245:8080/gdtv.php?id=gdxw
广东体育,http://192.168.0.245:8080/gdtv.php?id=gdty
广东体育HD,http://192.168.0.245:8080/gdtv.php?id=gdtyhd
广东经济科教,http://192.168.0.245:8080/gdtv.php?id=gdjjkj
广东经济科教HD,http://192.168.0.245:8080/gdtv.php?id=gdjjkjhd
广东影视,http://192.168.0.245:8080/gdtv.php?id=gdys
广东少儿,http://192.168.0.245:8080/gdtv.php?id=gdse
岭南戏曲,http://192.168.0.245:8080/gdtv.php?id=lnxq
嘉佳卡通,http://192.168.0.245:8080/gdtv.php?id=jjkt
广东导视,http://192.168.0.245:8080/gdtv.php?id=gdds
广州综合,http://192.168.0.245:8080/gdtv.php?id=gzzh
广州新闻,http://192.168.0.245:8080/gdtv.php?id=gzxw
广州法治,http://192.168.0.245:8080/gdtv.php?id=gzfz
广州竞赛,http://192.168.0.245:8080/gdtv.php?id=gzjs
广州影视,http://192.168.0.245:8080/gdtv.php?id=gzys
增城电视台,http://192.168.0.245:8080/gdtv.php?id=zctv
潮州综合,http://192.168.0.245:8080/gdtv.php?id=czzh
潮州民生,http://192.168.0.245:8080/gdtv.php?id=czms
潮安综合,http://192.168.0.245:8080/gdtv.php?id=cazh
饶平综合HD,http://192.168.0.245:8080/gdtv.php?id=rpzh
佛山综合,http://192.168.0.245:8080/gdtv.php?id=fszh
佛山综合HD,http://192.168.0.245:8080/gdtv.php?id=fszhhd
佛山公共,http://192.168.0.245:8080/gdtv.php?id=fsgg
佛山公共HD,http://192.168.0.245:8080/gdtv.php?id=fsgghd
佛山影视,http://192.168.0.245:8080/gdtv.php?id=fsys
顺德台,http://192.168.0.245:8080/gdtv.php?id=fssd
南海台,http://192.168.0.245:8080/gdtv.php?id=fsnh
东莞新闻综合,http://192.168.0.245:8080/gdtv.php?id=dg1
东莞新闻综合HD,http://192.168.0.245:8080/gdtv.php?id=dg1hd
东莞生活资讯,http://192.168.0.245:8080/gdtv.php?id=dg2
东莞生活资讯,http://192.168.0.245:8080/gdtv.php?id=dg2hd
河源综合,http://192.168.0.245:8080/gdtv.php?id=hy1
河源综合HD,http://192.168.0.245:8080/gdtv.php?id=hy1hd
河源公共,http://192.168.0.245:8080/gdtv.php?id=hy2
惠州一套,http://192.168.0.245:8080/gdtv.php?id=hz1
惠州一套HD,http://192.168.0.245:8080/gdtv.php?id=hz1hd
惠州二套,http://192.168.0.245:8080/gdtv.php?id=hz2
惠州二套HDHD,http://192.168.0.245:8080/gdtv.php?id=hz2hd
